gene,pvalue,padj,logFC
LOC101897202,0.768499996,0.99569125,-2.09E-06
LOC101897383,0.203145724,0.99569125,5.06E-06
LOC109611832,0.754578554,0.99569125,1.88E-07
LOC101897718,0.146625609,0.99569125,-4.03E-06
LOC109611835,0.17455008,0.99569125,4.02E-06
LOC101897887,0.635683259,0.99569125,-6.92E-07
LOC101898054,0.352026483,0.99569125,-7.22E-06
LOC101898347,0.240122928,0.99569125,-4.08E-06
LOC101898698,0.053685535,0.99569125,-2.41E-06
LOC101898526,0.755919511,0.99569125,4.08E-07
LOC101899043,0.289665326,0.99569125,2.78E-06
LOC101899391,0.217379112,0.99569125,2.75E-07
LOC101899563,0.685457988,0.99569125,-8.03E-07
LOC101899725,0.843976226,0.99569125,-2.14E-07
LOC101900123,0.822916341,0.99569125,-2.31E-06
LOC101899896,0.370649594,0.99569125,-2.12E-06
LOC105261519,0.316170225,0.99569125,2.12E-06
LOC109611857,0.525096543,0.99569125,-1.95E-06
LOC105261521,0.389175168,0.99569125,-5.60E-06
LOC105261520,0.264725105,0.99569125,2.18E-06
LOC101901336,0.82046214,0.99569125,8.23E-07
LOC101901165,0.819923725,0.99569125,7.47E-07
LOC101901499,0.987878275,0.999973094,6.32E-08
LOC109611874,0.558051753,0.99569125,2.61E-07
LOC101901662,0.211635664,0.99569125,3.03E-06
LOC101887198,0.654567897,0.99569125,2.36E-06
LOC101887371,0.414804436,0.99569125,-8.67E-07
LOC101887542,0.547981858,0.99569125,-1.41E-06
LOC101887826,0.059149563,0.99569125,-3.91E-06
LOC101887990,0.810319809,0.99569125,-1.85E-07
LOC101888163,0.814093407,0.99569125,-8.45E-06
LOC101888454,0.041270796,0.99569125,-4.91E-06
LOC101888861,0.675085395,0.99569125,-1.21E-05
LOC101889564,0.369508246,0.99569125,-1.11E-06
LOC101889733,0.658274097,0.99569125,1.19E-06
LOC109611893,0.515747934,0.99569125,2.30E-06
LOC109611899,0.525394739,0.99569125,7.66E-07
LOC101890629,0.853949422,0.99569125,1.14E-06
LOC101890978,0.65317564,0.99569125,-5.08E-07
LOC101890803,0.086685257,0.99569125,-1.05E-05
LOC101891321,0.438057294,0.99569125,5.18E-06
LOC105261539,0.579060488,0.99569125,-5.13E-07
LOC101892253,0.137442671,0.99569125,5.52E-06
LOC105261542,0.450195206,0.99569125,-1.18E-06
LOC101892593,0.999496635,0.999973094,3.62E-07
LOC105261548,0.755296517,0.99569125,-8.11E-07
LOC101892765,0.018917377,0.99569125,8.80E-06
LOC101892938,0.033387256,0.99569125,1.14E-05
LOC101893116,0.52009326,0.99569125,-1.20E-06
LOC101893291,0.060597997,0.99569125,7.75E-06
LOC101893458,0.026118726,0.99569125,1.01E-05
LOC101893619,0.141390498,0.99569125,4.78E-06
LOC101893786,0.056100917,0.99569125,2.91E-06
LOC101893959,2.33E-05,0.035261798,1.254465914
LOC101894304,0.243250479,0.99569125,1.84E-06
LOC101894132,0.987602033,0.999973094,-3.16E-08
LOC101894469,NA,NA,-1.32E-06
LOC101894634,0.29776869,0.99569125,-5.59E-06
LOC101894790,0.928898456,0.999855404,5.86E-07
LOC101895457,2.78E-08,0.000112471,1.230281387
LOC101895583,0.835347722,0.99569125,-5.24E-07
LOC101895758,0.53808537,0.99569125,3.93E-06
LOC109611934,0.121905336,0.99569125,-1.36E-06
LOC101896041,0.32665787,0.99569125,3.69E-06
LOC101896202,0.392121522,0.99569125,3.76E-07
LOC101896675,0.371658858,0.99569125,-8.11E-07
LOC101897384,0.271112184,0.99569125,-1.88E-06
LOC101897547,0.230278169,0.99569125,1.47E-06
LOC101897888,0.760047416,0.99569125,3.64E-06
LOC101898406,0.7412477,0.99569125,-1.90E-07
LOC101898055,0.187878979,0.99569125,-1.12E-05
LOC101898233,0.882814602,0.997763859,8.98E-07
LOC101898580,0.420341827,0.99569125,7.47E-06
LOC101899392,0.976360653,0.999973094,1.76E-07
LOC101899564,0.981610788,0.999973094,5.74E-08
LOC105261576,0.062688703,0.99569125,-2.84E-06
LOC101899897,0.635054333,0.99569125,-1.52E-06
LOC109611977,0.793519435,0.99569125,8.55E-07
LOC101900765,0.433794904,0.99569125,-3.24E-06
LOC101901121,0.511695523,0.99569125,-1.00E-06
LOC101900942,0.908665016,0.999305601,-2.95E-07
LOC101887264,0.75113076,0.99569125,-2.87E-06
LOC101901611,0.76155521,0.99569125,-4.58E-06
LOC109611988,0.023611914,0.99569125,7.62E-06
LOC101887433,0.589356409,0.99569125,-3.25E-06
LOC101887875,0.887821829,0.997763859,-2.99E-07
LOC109612005,0.442615717,0.99569125,6.15E-06
LOC101888229,0.433085286,0.99569125,-9.79E-07
LOC101888564,0.03931158,0.99569125,-3.50E-06
LOC101888862,0.89400206,0.99850759,-1.48E-07
LOC109612014,0.565315876,0.99569125,6.82E-07
LOC101889840,0.772005068,0.99569125,3.23E-07
LOC101890010,0.648414447,0.99569125,-2.40E-06
LOC101890172,0.165820806,0.99569125,9.57E-06
LOC101890349,0.591611133,0.99569125,1.47E-06
LOC101890518,0.445826484,0.99569125,-4.16E-06
LOC101890690,0.259542452,0.99569125,-2.68E-07
LOC101891615,0.860162338,0.995703468,5.21E-06
LOC101891905,0.696603384,0.99569125,3.75E-05
LOC109612035,0.524801826,0.99569125,-8.74E-07
LOC101892594,0.474412191,0.99569125,-4.40E-06
LOC101892766,0.159390761,0.99569125,-2.12E-06
LOC101893117,0.330254929,0.99569125,-2.41E-06
LOC105261613,0.092900266,0.99569125,-2.02E-06
LOC101893459,0.133787185,0.99569125,-2.04E-06
LOC101893620,0.767477138,0.99569125,-9.77E-07
LOC101895117,0.974496222,0.999973094,-6.86E-08
LOC101895458,0.497877008,0.99569125,-3.02E-06
LOC101895289,0.765399681,0.99569125,-2.71E-06
LOC101895638,0.632416194,0.99569125,9.62E-06
LOC101895811,0.753941966,0.99569125,3.59E-07
LOC101895986,0.392121522,0.99569125,3.76E-07
LOC101896146,0.753103406,0.99569125,2.18E-06
LOC101896318,0.571021614,0.99569125,2.16E-06
LOC101896495,0.211635664,0.99569125,3.03E-06
LOC101896676,0.065931039,0.99569125,-2.30E-06
LOC101896856,0.43256301,0.99569125,1.77E-06
LOC109611610,0.992203332,0.999973094,-2.02E-08
LOC101897028,0.339088612,0.99569125,-3.64E-06
LOC101897204,0.730139404,0.99569125,2.23E-06
LOC101898407,0.423763056,0.99569125,1.40E-06
LOC101898234,0.228248574,0.99569125,-7.48E-06
LOC101897720,0.526620896,0.99569125,3.32E-06
LOC105261633,0.967568696,0.999855404,-1.27E-07
LOC101898581,0.903533125,0.99850759,-7.97E-08
LOC101898920,0.020658802,0.99569125,5.94E-06
LOC105261635,0.870527638,0.997473203,8.13E-08
LOC101899213,0.853867682,0.99569125,-3.65E-07
LOC101899393,0.153551634,0.99569125,-3.85E-06
LOC101899565,0.927440778,0.999855404,5.54E-08
LOC101899727,0.979378225,0.999973094,6.44E-08
LOC101899898,0.927559884,0.999855404,-6.39E-08
LOC101900239,0.375667977,0.99569125,3.41E-06
LOC101900410,0.918491853,0.999855404,-6.23E-09
LOC101901122,0.789882536,0.99569125,-2.02E-07
LOC101901288,0.919992498,0.999855404,2.21E-07
LOC101901448,0.186661474,0.99569125,4.11E-06
LOC101901612,0.23494404,0.99569125,2.65E-06
LOC101901779,0.268854148,0.99569125,2.93E-06
LOC101887314,0.545721213,0.99569125,7.51E-07
LOC101887827,0.4422654,0.99569125,-4.07E-06
LOC101887991,0.530918568,0.99569125,-3.21E-06
LOC101888510,0.716250906,0.99569125,1.17E-06
LOC101888335,0.509599905,0.99569125,0.000114093
LOC101889335,0.126262946,0.99569125,-8.88E-07
LOC101889509,0.914145602,0.99967947,7.33E-08
LOC101889667,0.058765712,0.99569125,-1.25E-06
LOC101888685,0.950375202,0.999855404,3.86E-07
LOC101889841,0.528755153,0.99569125,-1.48E-06
LOC101888863,0.091751669,0.99569125,6.31E-06
LOC101890011,0.496969992,0.99569125,-6.06E-06
LOC101890173,0.714650903,0.99569125,-2.26E-07
LOC101889038,0.975025217,0.999973094,2.29E-05
LOC105261660,0.633297393,0.99569125,4.63E-07
LOC101890569,0.728561077,0.99569125,-1.04E-07
LOC101890740,0.139342884,0.99569125,7.52E-06
LOC101891261,0.770457049,0.99569125,2.49E-07
LOC101891435,0.387885974,0.99569125,-2.63E-06
LOC101891616,0.125560215,0.99569125,-8.10E-06
LOC101891959,0.322673218,0.99569125,-1.94E-06
LOC101892132,0.746761022,0.99569125,-2.29E-07
LOC101892302,0.181317665,0.99569125,-5.23E-06
LOC101892471,0.180772007,0.99569125,2.70E-06
LOC101892646,0.549555506,0.99569125,6.37E-07
LOC101893172,0.684680262,0.99569125,-3.83E-07
LOC101893333,0.504503119,0.99569125,-3.93E-06
LOC101893839,0.098676572,0.99569125,9.20E-06
LOC101894012,0.420950292,0.99569125,4.15E-06
LOC105261673,0.20522546,0.99569125,1.26E-05
LOC101894362,0.776735586,0.99569125,1.82E-06
LOC101894521,0.75170125,0.99569125,-3.85E-06
LOC101894841,0.305898463,0.99569125,4.72E-06
LOC101894682,0.540822287,0.99569125,-1.66E-06
LOC105261675,0.791483042,0.99569125,-1.45E-07
