,gene_names,Control_Gut_1,Control_Gut_2,Control_Gut_3,Control_Gut_4,Pseudomonas_Gut_1,Pseudomonas_Gut_2,Pseudomonas_Gut_3,Pseudomonas_Gut_4,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3,Control_Carcass_4,Pseudomonas_Carcass_1,Pseudomonas_Carcass_2,Pseudomonas_Carcass_3,Pseudomonas_Carcass_4
3234,LOC105261509,1,0,0,2,2,0,1,1,1,0,1,0,0,0,0,1
3235,LOC101897845,332,214,204,230,283,273,254,331,2,1,6,10,4,16,0,11
3236,LOC101898008,47,38,37,39,28,36,40,26,48,55,47,47,41,41,58,30
3237,LOC101898180,30,42,38,32,29,28,34,28,31,26,31,25,34,23,28,50
3238,LOC101898353,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
3239,LOC101898531,11,33,35,34,14,26,36,21,33,23,20,20,33,20,19,53
3240,LOC101891794,1,11,12,10,0,6,10,2,14,3,4,2,6,2,3,13
3241,LOC101898990,5,7,5,5,6,5,5,5,9,10,9,10,11,8,9,11
3242,LOC101898704,5,14,15,15,5,9,14,8,16,11,10,11,14,8,10,16
3243,LOC101899343,14,17,18,18,13,18,17,16,23,20,18,18,22,15,19,22
3244,LOC101899164,7,7,7,7,6,8,7,7,7,9,10,8,11,8,10,8
3245,LOC101899621,103,122,146,129,108,121,124,110,159,173,149,149,169,121,144,183
3246,LOC101899786,486,415,405,401,443,439,402,420,1677,1848,1751,2021,1694,2107,2194,1499
3247,LOC101891968,0,7,9,8,0,5,9,2,7,0,0,0,5,0,0,5
3248,LOC101899960,12,19,24,20,7,10,22,12,18,10,12,13,12,5,12,25
3249,LOC101900251,46,136,257,174,43,99,154,79,187,68,75,76,127,57,72,346
3250,LOC101900888,0,1,0,1,1,0,0,1,3,0,1,1,8,1,1,10
3251,LOC101901239,24,20,23,21,17,22,24,21,30,43,41,33,27,23,31,25
3252,LOC101901402,1,3,3,2,1,2,1,1,4,1,1,2,1,0,1,2
3253,LOC101892141,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
3254,LOC101892309,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
3255,LOC101892479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,LOC101901566,75,57,75,54,61,67,59,70,25,20,22,17,25,16,23,22
3257,LOC101892834,9,18,11,11,9,10,15,10,11,13,8,12,14,11,10,21
3258,LOC101887496,41,53,55,48,45,39,45,45,58,76,73,71,81,60,60,79
3259,LOC101887329,34,28,26,26,26,25,25,26,23,30,23,28,23,18,21,21
3260,LOC101887669,0,0,0,0,0,0,0,0,274,448,396,355,381,215,363,268
3261,LOC101893004,20,22,26,24,18,21,23,21,25,26,24,21,29,19,22,26
3262,LOC101888000,10,12,12,12,8,11,13,12,12,11,13,10,12,7,12,16
3263,LOC101887837,3,9,10,7,4,7,7,4,9,7,7,9,11,5,9,8
3264,LOC101888464,14,15,21,17,17,15,15,15,16,13,15,14,19,12,13,15
3265,LOC101888178,21,36,35,32,15,24,33,24,44,42,35,35,38,33,32,39
3266,LOC101888873,3,8,9,8,3,5,8,4,7,6,5,4,8,4,4,7
3267,LOC105261510,4,14,20,16,6,12,16,9,17,7,6,7,17,6,9,20
3268,LOC101889049,16,23,37,31,17,22,33,18,36,35,39,37,50,24,33,31
3269,LOC105261511,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3270,LOC101889967,5,6,4,5,4,4,4,5,6,7,7,7,6,5,6,5
3271,LOC101889796,1,6,9,8,1,5,9,3,8,2,1,2,5,1,2,11
3272,LOC101890133,6,7,12,9,6,8,10,6,15,10,13,13,16,11,12,15
3273,LOC101890301,1,7,2,5,0,2,5,1,11,25,15,18,28,29,21,15
3274,LOC101890583,9,88,26,27,9,18,21,14,205,229,228,215,171,200,199,201
3275,LOC101890754,9,12,13,12,11,11,13,7,3,3,3,2,7,2,3,3
3276,LOC101893184,4,5,4,3,7,4,5,3,33,8,13,11,18,18,19,10
3277,LOC101891444,16,18,22,18,17,17,17,14,23,26,29,27,32,18,26,20
3278,LOC101896112,72,60,82,45,65,58,49,90,68,78,66,65,69,42,47,96
3279,LOC101893344,4,10,12,9,4,6,10,5,11,8,9,8,10,7,6,12
3280,LOC101894252,4,8,12,10,4,6,11,4,10,9,9,7,14,4,8,10
3281,LOC101893968,4,8,8,7,3,4,6,4,8,8,8,8,11,7,10,10
3282,LOC101893683,46,224,102,125,191,81,115,33,310,740,588,476,662,389,414,205
3283,LOC101893515,15,29,27,26,24,21,25,14,32,49,45,35,38,26,35,22
3284,LOC101894802,9,11,14,13,8,10,9,11,20,15,13,19,21,13,15,12
3285,LOC101894417,5,6,13,11,4,7,9,6,10,7,8,8,11,5,8,8
3286,LOC101894968,2,2,3,2,1,2,1,2,1,1,0,1,1,1,1,1
3287,LOC101895127,24,16,25,22,21,23,17,26,12,12,11,11,13,9,10,12
3288,LOC101896273,7,10,12,8,8,9,11,8,11,11,12,10,18,8,9,13
3289,LOC101895297,28,32,35,34,35,32,27,22,41,47,36,53,51,38,37,33
3290,LOC101895466,22,14,22,21,18,21,17,23,16,18,17,18,18,12,16,13
3291,LOC101895768,72,85,97,70,71,70,72,80,221,198,239,278,254,235,238,186
3292,LOC101895945,5,13,11,11,6,8,13,6,11,18,12,15,20,8,13,14
3293,LOC101896445,14,16,19,15,14,16,14,25,12,18,18,17,13,17,22,18
3294,LOC101898009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3295,LOC109611823,24,26,35,23,29,23,22,29,0,0,0,0,0,0,0,0
3296,LOC101896625,177,217,233,174,183,204,187,230,129,185,200,146,98,102,136,149
3297,LOC101898354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298,LOC101896978,171,353,333,137,79,210,202,365,150,393,527,157,145,254,310,419
3299,LOC101897154,58,39,31,47,37,56,35,53,69,88,62,81,51,42,47,64
3300,LOC101897334,9,6,8,10,6,10,7,11,21,14,17,19,15,18,23,23
3301,LOC101897501,42,26,30,36,34,38,34,49,20,23,20,23,24,16,20,21
3302,LOC101897674,0,1,1,0,0,0,0,0,13,7,15,8,8,12,14,13
3303,LOC101898532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304,LOC109611821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3305,LOC101898871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3306,LOC101899053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3307,LOC105261513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3308,LOC101899221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3309,LOC101899402,1,2,4,2,1,2,2,1,6,5,5,5,7,5,6,3
3310,LOC109611824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3311,LOC101899733,1,53,104,95,2,42,87,18,111,50,47,79,84,57,65,139
3312,LOC101900074,0,1,0,0,0,0,0,0,5,4,3,4,4,4,8,2
3313,LOC101900252,49,74,74,56,55,53,51,56,118,140,124,133,136,101,136,75
3314,LOC101900596,312,796,1170,816,264,592,784,574,1271,937,896,978,1274,942,1075,1405
3315,LOC101900418,18,35,29,27,15,26,29,17,35,43,46,31,48,37,35,48
3316,LOC101887614,9,7,4,2,7,1,4,4,0,0,1,1,0,3,0,1
3317,LOC105261515,5,14,13,9,6,6,9,13,10,19,25,15,16,8,20,11
3318,LOC101887778,5,11,17,12,6,7,12,8,14,13,16,13,17,10,15,14
3319,LOC101900779,11,13,10,9,11,8,8,9,15,22,19,22,18,14,23,11
3320,LOC101901071,10,17,16,15,12,13,15,9,34,32,36,40,40,35,29,29
3321,LOC101901240,16,2,8,9,11,20,9,14,6,8,7,7,6,4,8,6
3322,LOC101901403,2,1,1,1,0,1,0,0,14,15,12,13,10,16,13,7
3323,LOC101888113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3324,LOC101901567,31,26,28,31,29,28,31,31,25,26,24,26,26,22,23,27
3325,LOC101887437,13,11,17,17,11,14,14,10,21,16,16,19,18,14,18,17
3326,LOC101887269,2,3,4,3,1,2,2,2,24,26,31,31,34,26,35,18
3327,LOC101888291,4,9,6,7,4,4,8,8,8,13,9,15,13,4,17,10
3328,LOC109611827,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3329,LOC101888633,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3330,LOC101888988,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3331,LOC101889167,0,0,0,0,0,0,0,0,1,2,2,2,1,1,2,1
3332,LOC101889344,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
3333,LOC109611828,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
3334,LOC101888465,67,41,69,57,53,62,57,72,23,1,3,3,9,5,2,61
3335,LOC101891445,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
3336,LOC101891626,0,0,1,0,0,1,0,0,8,14,14,12,10,8,14,7
3337,LOC101889679,191,213,240,215,232,227,213,205,212,270,259,229,319,219,247,182
3338,LOC101889520,43,16,36,26,53,42,31,49,0,1,1,1,0,0,0,0
3339,LOC101890302,25,31,35,30,27,26,24,21,88,102,117,121,114,102,127,69
3340,LOC101891795,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
3341,LOC101891969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3342,LOC101892142,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3343,LOC101892310,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3344,LOC101891273,20,22,24,18,22,20,17,19,40,52,50,42,51,33,44,37
3345,LOC101895595,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
3346,LOC101892603,2,3,2,1,1,1,1,2,7,5,7,9,7,10,15,9
3347,LOC101892775,3,3,6,5,3,4,4,4,5,3,4,4,5,3,4,6
3348,LOC101893066,7,17,20,14,10,11,15,8,25,48,67,35,71,31,38,22
3349,LOC101895769,4,11,18,10,3,11,14,7,12,6,6,5,12,8,6,16
3350,LOC101895946,3,5,7,7,3,5,7,4,5,3,3,3,5,3,3,6
