,gene_names,Ecoli_Gut_1,Ecoli_Gut_2,Ecoli_Gut_3,Control_Gut_1,Control_Gut_2,Control_Gut_3,Ecoli_Carcass_1,Ecoli_Carcass_2,Ecoli_Carcass_3,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3
731,LOC101895759,0,0,0,0,0,0,0,0,1,0,0,0
732,LOC101895936,0,0,0,0,0,0,0,0,0,0,0,0
733,LOC101896433,1,0,0,0,0,0,1,0,1,1,0,0
734,LOC101896733,1,0,1,0,0,1,1,1,1,1,0,1
735,LOC101897259,0,0,0,0,0,0,0,0,0,0,0,0
736,LOC101897435,7,6,7,8,8,7,9,9,8,11,9,11
737,LOC101897605,0,0,0,0,0,0,0,0,0,0,0,0
738,LOC101898113,0,0,0,0,0,0,0,0,0,0,0,0
739,LOC105261774,0,0,0,0,0,0,0,0,0,0,0,0
740,LOC101899270,0,0,0,0,0,0,0,0,0,0,0,0
741,LOC101899449,0,0,0,0,0,0,0,0,0,0,0,0
742,LOC101899612,4,4,4,5,4,3,4,6,4,6,7,6
743,LOC101898635,4,4,5,5,5,4,12,15,11,16,12,16
744,LOC101898922,3,3,3,4,3,3,4,4,4,6,5,6
745,LOC101899098,2,1,1,2,2,2,4,3,4,4,4,4
746,LOC109612592,0,0,0,0,0,0,0,0,0,0,0,0
747,LOC101899777,10,4,6,6,8,7,14,12,7,9,12,11
748,LOC101900124,0,0,0,0,0,0,0,0,1,0,1,0
749,LOC101900296,0,0,0,0,0,0,2,0,1,2,2,1
750,LOC101900818,4,2,3,5,4,4,5,5,3,5,7,6
751,LOC101901502,5,4,7,8,6,6,6,6,5,7,6,7
752,LOC101900995,0,0,0,1,0,0,0,0,0,1,0,0
753,LOC101901665,1,1,1,0,1,1,3,1,1,2,1,1
754,LOC101887200,2,2,1,2,2,2,3,4,3,4,6,4
755,LOC101901339,9,10,4,6,9,11,16,14,6,11,12,19
756,LOC101901168,4,2,3,3,3,3,3,4,1,3,3,2
757,LOC101887373,6,4,7,7,6,4,4,6,7,6,4,5
758,LOC101887544,19,11,13,11,19,22,12,8,13,12,14,16
759,LOC101887714,2,0,7,5,0,0,5,7,0,7,3,0
760,LOC101887877,0,0,0,0,0,0,0,0,0,0,0,0
761,LOC101888686,0,0,0,0,0,0,0,0,0,0,0,0
762,LOC101888865,0,0,0,0,0,0,1,1,1,0,2,1
763,LOC101889040,0,0,0,0,0,0,0,0,0,0,0,0
764,LOC101889217,113,92,111,90,98,97,15,14,15,8,17,12
765,LOC101889392,3,4,6,2,3,3,1,1,1,2,2,1
766,LOC101889565,2,2,1,3,2,2,8,8,6,11,11,9
767,LOC101889734,6,10,10,5,5,8,0,0,0,0,0,0
768,LOC101888165,137,167,62,158,155,96,160,186,65,186,177,123
769,LOC101888336,19,29,8,15,22,18,0,0,0,0,1,0
770,LOC101890229,4,7,3,5,4,6,0,1,1,0,0,0
771,LOC101888511,129,105,132,69,133,140,2,2,2,2,2,3
